Category,Overheads
Salary Expense,16.62
Interest Expense ,0.35
Marketing Expense,1.32
Rental Expense,4.23
Overflow Expense - Retail,0.22
Overflow Expense - Warehouse,1.41
Penalty Expense,17.51
Depreciation Expense,8.02
Maintenance Expense,8.43
Shipping Expense,37.64
Human Resource Expense,4.23
